group,event_id,state,genre,http,has_price_ranges,price_min
unpriced,Z7r9jZ1A7-geZ,CA,R&B,200,False,
unpriced,Z7r9jZ1A70Pob,CA,Alternative,200,False,
unpriced,Z7r9jZ1A7-_PV,CA,Rock,200,False,
unpriced,vvG1IZ_1L1nHcx,CA,Pop,200,False,
unpriced,G5vYZ_u5lgbkx,CA,Pop,200,False,
unpriced,Z7r9jZ1A70yjs,CA,Other,200,False,
unpriced,vv1AaZkodGkdLE_O7,CA,Pop,200,False,
unpriced,Z7r9jZ1A706FY,CA,Other,200,False,
unpriced,vv170Z_6GkX0dzOF,CA,Latin,200,False,
unpriced,G5vYZ_kQJXRwJ,CA,Pop,200,False,
unpriced,G5vYZ_6bQ8FZh,CA,Rock,200,False,
unpriced,vvG1IZ_k5VDtnn,CA,Rock,200,False,
unpriced,G5vYZ_FDrVv2X,CA,Rock,200,False,
unpriced,Z7r9jZ1A7PdZ4,CA,Hip-Hop/Rap,200,False,
unpriced,Z7r9jZ1A70S7N,CA,Other,200,False,
unpriced,vvG10Z_1MjnAXY,CA,Pop,200,False,
unpriced,vvG1IZ_F2a7LkF,CA,Metal,200,False,
unpriced,vv1AaZk3FGkd0nOYK,CA,Rock,200,False,
unpriced,G5vYZ_73JO5lB,CA,Metal,200,False,
unpriced,1718v0G6GlBY8BC,CA,Rock,200,False,
unpriced,vv1AaZkoyGkdLCizk,CA,Country,200,False,
unpriced,Z7r9jZ1A7-woI,CA,Other,200,False,
unpriced,vvG10Z_udZ2l-k,CA,Pop,200,False,
unpriced,vv170ZbSGkIhFzEy,CA,Hip-Hop/Rap,200,False,
unpriced,vvG1iZ_7R2BVij,CA,Rock,200,False,
unpriced,G5vYZ_aEOcK9c,CA,Rock,200,False,
unpriced,Z7r9jZ1A70S78,CA,Other,200,False,
unpriced,G5vYZ_5K7qMj8,CA,R&B,200,False,
unpriced,vvG1IZ_ddprWWE,CA,Rock,200,False,
unpriced,G5vYZ_dDYZQwA,CA,Rock,200,False,
unpriced,Z7r9jZ1A70I80,CA,Rock,200,False,
unpriced,vvG10Z_5QQv1if,CA,Rock,200,False,
unpriced,G5vYZ_55JdUBb,CA,Undefined,200,False,
unpriced,Z7r9jZ1A7qz86,CA,World,200,False,
unpriced,G5vYZ_5hrJAoF,CA,Hip-Hop/Rap,200,False,
unpriced,vv170Z_6GkToUjHD,CA,Undefined,200,False,
unpriced,G5vYZ_G3WCt2E,CA,Rock,200,False,
unpriced,Z7r9jZ1A7xpA3,CA,Alternative,200,False,
unpriced,vvG10Z_uDzaue9,CA,Rock,200,False,
unpriced,Z7r9jZ1A70wFs,CA,Pop,200,False,
unpriced,G5vYZ_F-Fb7tp,CA,Rock,200,False,
unpriced,Z7r9jZ1A7PIj7,CA,Theatre,200,False,
unpriced,vv170Z_6Gkn-iFbZ,CA,Hip-Hop/Rap,200,False,
unpriced,G5vYZ_5mmG6t5,CA,Metal,200,False,
unpriced,Z7r9jZ1A70S83,CA,Other,200,False,
unpriced,G5vYZ_1hAAGiP,CA,World,200,False,
unpriced,Z7r9jZ1A7x78d,CA,R&B,200,False,
unpriced,G5vYZ_dwWjIOa,CA,Pop,200,False,
unpriced,vv1AaZkoMGkdgaivz,CA,Jazz,200,False,
unpriced,vvG10Z_GEyrIO9,CA,Rock,200,False,
priced_control,rZ7HnEZ1Af0xaK,CA,Rock,200,True,19.06
priced_control,rZ7HnEZ1AfqAON,CA,Hip-Hop/Rap,200,True,31.12
priced_control,rZ7HnEZ1AfrkjK,CA,Jazz,200,True,18.8
priced_control,rZ7HnEZ1Af08ON,CA,Reggae,200,True,29.55
priced_control,rZ7HnEZ1Af0g0d,CA,Alternative,200,True,55.55
