state,slice_start,slice_end,http,total_elements,truncated
CA,2026-07-04,2026-07-17,200,402,False
CA,2026-07-18,2026-07-31,200,575,False
CA,2026-08-01,2026-08-14,200,562,False
CA,2026-08-15,2026-08-28,200,523,False
CA,2026-08-29,2026-09-11,200,392,False
CA,2026-09-12,2026-09-25,200,510,False
CA,2026-09-26,2026-10-09,200,591,False
CA,2026-10-10,2026-10-23,200,474,False
CA,2026-10-24,2026-11-06,200,336,False
CA,2026-11-07,2026-11-20,200,292,False
CA,2026-11-21,2026-12-04,200,143,False
CA,2026-12-05,2026-12-18,200,109,False
CA,2026-12-19,2026-12-31,200,40,False
NY,2026-07-04,2026-07-17,200,359,False
NY,2026-07-18,2026-07-31,200,449,False
NY,2026-08-01,2026-08-14,200,372,False
NY,2026-08-15,2026-08-28,200,347,False
NY,2026-08-29,2026-09-11,200,276,False
NY,2026-09-12,2026-09-25,200,386,False
NY,2026-09-26,2026-10-09,200,316,False
NY,2026-10-10,2026-10-23,200,275,False
NY,2026-10-24,2026-11-06,200,201,False
NY,2026-11-07,2026-11-20,200,209,False
NY,2026-11-21,2026-12-04,200,88,False
NY,2026-12-05,2026-12-18,200,48,False
NY,2026-12-19,2026-12-31,200,15,False
NV,2026-07-04,2026-07-17,200,211,False
NV,2026-07-18,2026-07-31,200,266,False
NV,2026-08-01,2026-08-14,200,208,False
NV,2026-08-15,2026-08-28,200,228,False
NV,2026-08-29,2026-09-11,200,243,False
NV,2026-09-12,2026-09-25,200,272,False
NV,2026-09-26,2026-10-09,200,230,False
NV,2026-10-10,2026-10-23,200,206,False
NV,2026-10-24,2026-11-06,200,190,False
NV,2026-11-07,2026-11-20,200,155,False
NV,2026-11-21,2026-12-04,200,130,False
NV,2026-12-05,2026-12-18,200,144,False
NV,2026-12-19,2026-12-31,200,116,False
TX,2026-07-04,2026-07-17,200,115,False
TX,2026-07-18,2026-07-31,200,192,False
TX,2026-08-01,2026-08-14,200,160,False
TX,2026-08-15,2026-08-28,200,178,False
TX,2026-08-29,2026-09-11,200,180,False
TX,2026-09-12,2026-09-25,200,251,False
TX,2026-09-26,2026-10-09,200,200,False
TX,2026-10-10,2026-10-23,200,279,False
TX,2026-10-24,2026-11-06,200,158,False
TX,2026-11-07,2026-11-20,200,165,False
TX,2026-11-21,2026-12-04,200,62,False
TX,2026-12-05,2026-12-18,200,33,False
TX,2026-12-19,2026-12-31,200,14,False
